headline,clickbait,detoxified_headline,detox_confidence,detox_predicted_label
19 Perfect Gifts For Anyone Who's Fresh Out Of Fucks,1,19 thoughtful gifts for when you're feeling indifferent,0.9999953508377075,1
31 Things You Need To Cook In October,1,31 Seasonal Recipes to Try in October,0.9999955892562866,1
14 Badass Historical Women To Name Your Daughters After,1,Inspiring women from history: 14 names for your baby girl.,0.9999955892562866,1
21 WTF Crimes That Could Only Ever Happen In Britain,1,Unique crimes that showcase Britain's quirky criminal underbelly.,0.0009011903312057257,0
This Guy Who Cosplays As Deadpool Every Year Is Almost As Funny As Ryan Reynolds,1,Deadpool cosplayer delights fans with his hilarious performances.,0.9999383687973022,1
Couples Try Pole Dancing For The First Time,1,Couples Experiment with Pole Dancing.,0.9986656904220581,1
"Watch Amy Poehler Absolutely Slay A Cover Of ""The Rose""",1,"Amy Poehler Performs A Cover Of ""The Rose"".",0.9999655485153198,1
18 Celebrity Men Who Are Actually Just Really Pleased To See You,1,18 Male Celebrities Who Are Known For Their Warm And Friendly Demeanor,0.9999954700469971,1
25 Music Videos We Watched Over And Over Again In 2015,1,The 25 most rewatched music videos of 2015.,0.9999945163726807,1
Are You More Laura Or Carmilla,1,Which Carmilla character are you most like?,0.9999929666519165,1
17 Freak Occurrences That Unfortunately Killed These People,1,17 Unusual Incidents That Led to Tragic Deaths,0.9999945163726807,1
Struggles Everyone With Contacts Knows,1,Common Challenges Faced by Contact Lens Wearers,5.129427518113516e-05,0
We Can Tell Where You Live Based On One Question,1,Can We Guess Your Location With One Question?,0.9998288154602051,1
31 Jack-O'-Lanterns That Don't Deserve To Die After Halloween,1,31 Creative Ways to Display Jack-O'-Lanterns After Halloween,0.9999954700469971,1
"What's The Most Fucked Up Thing You've Done On ""Rollercoaster Tycoon""",1,"Players share their most outrageous ""Rollercoaster Tycoon"" stories.",0.9999943971633911,1
18 Struggles Everyone With A Cat's Name Has To Go Through,1,Common challenges faced by people with cats.,2.2160849766805768e-05,0
26 Pros And Cons Of Living With Your Significant Other,1,Considering the pros and cons of cohabitation with your partner.,0.0011037645163014531,0
"Pamplona's famous ""running of the bulls"" in pictures",1,"Pamplona's ""running of the bulls"" festival in photos",0.9915355443954468,1
Witches' Counsel: I Have The Worst Luck,1,Witches share advice on managing misfortune.,2.8007310902466998e-05,0
19 Hilarious Pictures That Accurately Describe What It's Like To Finish A Book,1,19 Amusing Illustrations That Capture The Feeling Of Finishing A Book,0.9999955892562866,1
"23 ""X-Files"" Gifts That Are Out Of This World",1,"23 ""X-Files"" Gift Ideas for Fans of the Show",0.9999955892562866,1
25 Brilliant Ways To Eat More Apples This Fall,1,Unique Apple Recipes to Try This Autumn,0.9999927282333374,1
11 Thanksgiving Dad Jokes,1,11 Thanksgiving Jokes to Share with Family,0.999995231628418,1
18 Maps That Will Change How You See The World,1,A collection of maps offers a unique perspective on the world.,1.1062043995480053e-05,0
17 Bunnies For All The Sad People Out There,1,Adorable bunnies bring joy to those feeling down.,0.9999929666519165,1
"I'm A Republican, But I'm Not",1,A Republican shares their perspective on an unexpected issue.,8.167903615685645e-06,0
24 Photos That Prove You Haven't Seen Real Beauty If You've Never Been To Ireland,1,Ireland's breathtaking landscapes captured in 24 stunning photos.,0.9995096921920776,1
This Person Might Have Robbed Graves And Tumblr Is Going Insane,1,Online community discusses possible grave robbery.,7.246181212394731e-06,0
Can You Match The Quote To The Charles Dickens Book,1,Test your knowledge: Match the quote to the Charles Dickens novel.,0.9995214939117432,1
Ruby Rose Is Not Happy At All About These Revealing Photos Being Published,1,Ruby Rose Expresses Discontent Over Published Photos,8.506674930686131e-05,0
These Adorable Old Greyhounds Use An Elevator To Get Around,1,Retired Greyhounds Use Elevator To Access Different Floors,8.925759175326675e-06,0
18 Unbelievably Delicious Things You Can Do To Store-Bought Cookies,1,18 Creative Ways To Enhance Store-Bought Cookies,0.9999955892562866,1
27 Breathtaking Alternatives To A Traditional Wedding Bouquet,1,Unique and beautiful alternatives to the classic wedding bouquet.,0.9874362945556641,1
These Women Saw Their Besties Naked For The First Time... And It Wasn't That Awkward,1,Women share their experiences of seeing their friends naked for the first time.,0.9999943971633911,1
This 70-Year-Old Woman's Reason For Being Single Will Give You A Whole New Level Of Goals,1,70-year-old woman shares her unique perspective on choosing to stay single.,0.9998782873153687,1
14 Halloween Movies That Actually Take Place On Halloween,1,14 Halloween Movies Set on the Spooky Holiday,0.9999955892562866,1
34 Pictures That'll Make You Want To Pack Your Bags And Move To Wales,1,34 Pictures Highlighting the Beauty of Wales,0.999995231628418,1
Kristen Wiig Pretending To Be Peyton Manning Is Just Too Much,1,Kristen Wiig's Impression of Peyton Manning Delights Fans,0.9999887943267822,1
"Rachel Green From ""Friends"" Appeared On ""SNL"" And It Was Everything",1,"Rachel Green, played by Jennifer Aniston, guest stars on SNL.",0.9898638129234314,1
A Lot Of People Are Upset About A YouTuber's Fat-Shaming Video,1,YouTuber faces backlash over fat-shaming video.,1.1772489415307064e-05,0
Non-Americans: How Should You Celebrate U.S. Thanksgiving,1,International Guide to Celebrating and Understanding US Thanksgiving,0.9999258518218994,1
Which Iconic '00s Teen Movie Do You Actually Belong In,1,Find out which iconic '00s teen movie fits your personality.,0.9999932050704956,1
Tell Us How You Keep A Healthy Diet In College,1,Tips for maintaining a healthy diet in college,0.9998016953468323,1
20 Super Sexy Maternity Options For The Knocked Up,1,Trendy maternity fashion ideas for expecting mothers.,0.00018094060942530632,0
What Percent Voldemort Are You,1,Which Harry Potter character do you resemble the most?,0.9999681711196899,1
21 Supporting TV Characters Who Might Even Be Better Than The Main Characters,1,21 Memorable Supporting Characters from Popular TV Shows,0.9999954700469971,1
16 Christmas Pinterest Fails That Almost Nailed It But Didn't,1,16 Christmas Pinterest Crafts That Didn't Go As Planned,0.9999953508377075,1
How Much Do You Actually Know About Makeup,1,A Comprehensive Guide to Makeup: What You Need to Know,0.9999949932098389,1
These Ingenious Lego Hacks Will Finally Help Math Make Sense,1,Lego-based activities offer a fun approach to understanding math concepts.,9.118000889429823e-05,0
16 Messages That Are Basically Sexts For Parents,1,Common messages that parents may misinterpret as sexts,0.99998939037323,1
The New Wonder Woman Movie Officially Looks Amazing,1,Early reviews praise the new Wonder Woman film.,0.0007285792962647974,0
Ryan Curry Was Definitely The Cutest Baby Born In 2015,1,Ryan Curry: One of the Cutest Babies of 2015,0.9999957084655762,1
Here's Why The Starbucks Red Cups Controversy Makes No Sense,1,Starbucks responds to red cup controversy.,9.040761142387055e-06,0
25 Autumn Tattoos You'll Fall In Love With,1,Trending Autumn Tattoo Ideas to Inspire Your Next Ink.,0.9999390840530396,1
How Many Of 2015's Top-Selling Singles Can You Hum,1,Can you recognize these top-selling songs of 2015?,0.9999915361404419,1
Marnie Surprised A Children's Hospital With The Rockettes,1,Marnie and the Rockettes bring joy to a children's hospital.,0.005694831721484661,0
16 Exit Songs To Walkout Of Your Last Final To,1,16 Songs To Listen To On Your Way Home From Your Last Final Exam,0.9999955892562866,1
This Is What $4 Of Street Food Looks Like Around The World,1,A Look at Street Food Around the World and How Far $4 Can Get You,0.9999949932098389,1
This Is What Space Travel Really Looks Like,1,A glimpse into the realities of space travel.,1.675639759923797e-05,0
Watch This Mom Surprise Her Trans Daughter With The News Her Name Change Is Legal,1,Mom surprises trans daughter with legal name change.,0.003838242031633854,0
"7 Highs And 4 Lows Of ""Grease: Live""",1,"A review of ""Grease: Live"" highlights the show's best and worst moments.",0.999994158744812,1
This Comic Sums Up The Terrors Of Public Speaking,1,Comic highlights the challenges of public speaking.,0.004259049892425537,0
"34 Things You Probably Didn't Know About ""The Good Wife""",1,"34 Interesting Facts About ""The Good Wife"" You May Not Have Known",0.9999955892562866,1
How Well Do You Know Your Autumn Leaves,1,Identifying different types of autumn leaves.,4.512607119977474e-05,0
11 Times Tumblr Combined Your Love Of Animals And Video Games,1,Tumblr users creatively blend animals and video games in these 11 posts.,0.9999939203262329,1
Brits Tried To Guess The Meaning Of Thanksgiving Traditions And They Were Pretty Baffled,1,British people are curious about the meaning of Thanksgiving traditions.,0.999681830406189,1
Here Are The Biggest Moments On Twitter From 2015,1,A look back at Twitter's defining moments in 2015.,0.9999922513961792,1
"That Rainbow Bagel Store Has Shut Down ""Indefinitely""",1,Rainbow Bagel Store Closes Its Doors.,4.3459265725687146e-05,0
16 Reasons Your Best Friend Is Your Best Friend,1,Understanding the value of friendship: a list of qualities that make a best friend.,0.999455988407135,1
These Mini Peanut Butter Cheesecakes Are The Epitome Of Food Porn,1,Decadent Mini Peanut Butter Cheesecakes: An Indulgent Dessert Experience,0.9999933242797852,1
Wendy Williams Spills The Tea On The Summer's Hot Gossip,1,Wendy Williams Discusses The Season's Hottest Gossip,0.9999953508377075,1
22 Karl Pilkington Quotes That Are Just Too Perfect For Instagram,1,22 Hilarious Karl Pilkington Quotes to Brighten Your Day,0.9999954700469971,1
18 Of The Most Cringeworthy Lyrics From 2015,1,Unpopular song lyrics from 2015.,0.9999386072158813,1
15 Times Kate Winslet Didn't Give AF About What Anyone Thought,1,Kate Winslet's Most Memorable Moments of Defying Expectations,0.9999936819076538,1
"Are You More Harry Or Marv From ""Home Alone?""",1,"Which ""Home Alone"" character do you resemble the most?",0.9999823570251465,1
What's The Best Life Advice You Ever Got From Your Grandma,1,Valuable life lessons passed down from grandmothers.,2.0114648577873595e-05,0
This Etsy Store Sells The Most Stylish Loungewear For Geeks,1,Unique and stylish loungewear for geeks available on Etsy.,0.9821757674217224,1
What's The Best Kind Of Penis For You Based On Your Zodiac Sign,1,There is no best kind of penis based on zodiac signs.,0.9999921321868896,1
29 Of The Most Insane Traffic Jams In The World,1,Incredible footage captures massive traffic jams worldwide.,7.406793429254321e-06,0
19 Faces You'll Recognise If You're Lazy,1,19 Expressions That Lazy People Will Relate To,0.9999954700469971,1
7 Crucial Photo Strategies Everyone With A Big Head Should Know,1,Tips for taking flattering photos of larger head sizes.,0.00012031738879159093,0
"Rihanna Looks Flawless In Her New Video For ""Work""",1,"Rihanna Releases New Music Video For ""Work""",0.9079013466835022,1
Rebel Wilson Wants One Direction Fans To Know She Didn't Grope Harry Styles,1,Rebel Wilson Denies Allegations of Inappropriate Behavior Towards Harry Styles.,1.586722646607086e-05,0
Which Member Of 5 Seconds Of Summer Should Be Your Brother,1,Find out which member of 5 Seconds of Summer would be your ideal brother,0.9999955892562866,1
11 Awards All Nurses Deserve,1,Awards and recognition for nurses: a list of 11.,0.0001268815394723788,0
Which Swedish Female Artist Is Your Favorite Based On Your Favorite Swedish Things,1,Explore Swedish Female Artists Based On Your Favorite Swedish Influences,0.9999955892562866,1
"The Truth, Revealed by Bugs: The Case of Brookey Lee West",1,Insects provide clues in a murder investigation.,8.345283276867121e-06,0
"Can We Guess Your Age From These ""Would You Rather"" Questions",1,"Take this ""Would You Rather"" quiz to guess your age.",0.9999934434890747,1
22 Things To Give Your BFF To Show Them They're The One For You,1,Thoughtful gift ideas to strengthen your friendship.,1.2270245861145668e-05,0
21 Gifts For Your Best Friend Who Is Also A Dog,1,21 Gift Ideas For Dog Owners To Give Their Four-Legged Friends,0.9999954700469971,1
15 People Who Are Definitely Not On The Drake Train,1,15 People With Musical Tastes Beyond Drake,0.9999954700469971,1
Nobody Likes Hand Jobs,1,Exploring the psychology of manual labor.,2.9643977541127242e-05,0
"If The Bond Girl Age Gaps In ""James Bond"" Were Reversed",1,Age differences between Bond girls and James Bond examined.,0.0006333773490041494,0
James Franco Just Got Bar Mitzvahed,1,James Franco celebrates Bar Mitzvah.,6.505558121716604e-05,0
Can You Guess The Celebrity Just By Their Eyeliner,1,Can You Identify This Celebrity Based On Their Eyeliner Style?,0.9999945163726807,1
"How Well Do You Remember ""Sabrina, The Teenage Witch""",1,"Test your knowledge: ""Sabrina, The Teenage Witch"" quiz",0.9999909400939941,1
This Woman's Insanely Magical Instagram Will Make You Smile Every Damn Day,1,Charming Instagram account brightens your day with whimsical posts.,0.99998939037323,1
9 Holiday Party Confessions You Probably Can't Top,1,Unique holiday party ideas to try this season.,0.0034665814600884914,0
Which Disney Villain Song Should Be Your Anthem,1,Choose your anthem from these Disney villain songs,0.9999953508377075,1
13 Things You Wish You Knew Before You Got Your Period,1,13 Things That May Help You Prepare for Your First Period,0.9999955892562866,1
17 Struggles All Smartypants Will Understand,1,Common challenges faced by intellectually gifted individuals.,9.507723916613031e-06,0
17 Things Only Children Want You To Know,1,Understanding the unique experiences and perspectives of only children.,0.009773866273462772,0
"The Best Jim And Pam Moments, Ranked In Order Of Cuteness",1,"Classic Jim and Pam Moments, Ranked by Their Adorable Factor",0.999991774559021,1
Why I Stopped Running From New York,1,I decided to stop running and here's what New York is like.,0.9999936819076538,1
15 Appetizers For A Rockin' New Year's Eve,1,15 Appetizer Ideas for Your New Year's Eve Party,0.9999955892562866,1
"What Would Your Specialty Be As A Doctor On ""Grey's Anatomy""",1,"What your specialty would be on ""Grey's Anatomy"" if you were a doctor.",0.9999955892562866,1
17 Easy Steps To Wow Your Lover This Valentine's Day,1,Valentine's Day gift ideas to impress your partner.,0.0008895805804058909,0
For Everyone Who Is Obsessed With Daryl's Arms,1,Fans admire Daryl's muscular arms.,0.9989394545555115,1
Which Disney Prince Is Better Than The Rest,1,A Ranking of Disney Princes by Likeability,0.9997336268424988,1
These Canadians Won Lots Of Money And Then Took An Adorable Photo,1,Canadian lottery winners celebrate with a heartwarming photo.,9.357805538456887e-06,0
"31 Behind-The-Scenes Photos Of ""Grease: Live"" You Might Have Missed",1,"31 Behind-The-Scenes Photos From ""Grease: Live""",0.9999955892562866,1
Kerry Washington Was Accused Of Cultural Appropriation And Reacted In The Best Way,1,Kerry Washington responds to cultural appropriation accusations.,8.268425517599098e-06,0
These Babies Failing At Christmas Will Make You Laugh/Cry At Your Desk,1,Adorable babies experience Christmas for the first time.,0.9999949932098389,1
22 Things All Latina Moms Understand,1,Cultural commonalities among Latina mothers.,9.778895764611661e-05,0
Thoughts You Have During An Exam,1,Common exam thoughts and how to manage them.,0.0029780722688883543,0
"April Is Coming Back To ""Gilmore Girls"" And People Are Very Upset",1,"""Gilmore Girls"" fans express disappointment over April Nardini's return.",0.9999815225601196,1
"If You Hate ""The Big Bang Theory"", This Tweet Will Make You Stand Up And Applaud",1,"Tweet sparks mixed reactions among ""The Big Bang Theory"" fans.",0.9999865293502808,1
21 Problems That Won't Make Sense To People Who've Never Had In-N-Out,1,Unique Challenges Faced by Fans of In-N-Out Burger.,0.9989824891090393,1
This One Question Will Determine How Dirty Your Mind Is,1,A thought-provoking question reveals surprising insights about personality.,2.2684183932142332e-05,0
24 Classic Hip-Hop Songs That Will Transport You To 1996,1,A Collection of Classic Hip-Hop Songs from 1996.,0.9998412132263184,1
Sonakshi Sinha Snapchatted Herself Doodling And Accidentally Drew Kim Kardashian,1,Sonakshi Sinha Shares A Doodle On Snapchat That Resembles Kim Kardashian,0.9999955892562866,1
Fans Are Sharing Touching And Beautiful Artwork In Tribute To David Bowie,1,Fans honor David Bowie with heartfelt artwork.,0.9999499320983887,1
"This Sassy Line By Nadiya In This Week's ""Bake Off"" Is Splendid",1,"Nadiya delivers a memorable line on this week's ""Bake Off"".",0.9999943971633911,1
22 Podcasts That You Should Be Subscribing To In 2016,1,Popular Podcasts to Check Out,0.0018041005823761225,0
This Recipe For Mud Hen Bars Is All You Need To See Today,1,Try this recipe for delicious Mud Hen Bars.,0.999995231628418,1
"This Cover Of Drake's ""Hotline Bling"" Is Really, Really Good",1,"Impressive Cover Of Drake's ""Hotline Bling"" Gains Traction Online",0.999994158744812,1
Social Media Vs. Real Life,1,The differences between online and offline social behavior.,0.04259975999593735,0
"22 Reasons You Need To Start Watching ""Outlander"" Immediately",1,Outlander: 22 Reasons to Binge the Epic Series,0.9999954700469971,1
19 Of The Best BBQ Places In Texas That'll Make Your Mouth Water,1,19 Top-Rated BBQ Restaurants in Texas.,0.9999887943267822,1
Lea Salonga And 33 Other Epic Filipino-Americans Got Together For A Big Family Photo,1,Lea Salonga and 33 Other Notable Filipino-Americans Unite for a Group Photo,0.9998865127563477,1
The Doctor Who Taste Test,1,Study reveals surprising results about taste preferences.,8.868901204550639e-06,0
9 Vitiligo Transformations That Prove The Power Of Makeup,1,Makeup techniques offer confidence boost for people with vitiligo.,0.00025127013213932514,0
The 27 Most Annoying Things Every Bartender Has To Endure,1,Common Pet Peeves of Bartenders,0.9999847412109375,1
22 Objects People Have Actually Lost In Their Ass,1,Medical professionals retrieve various objects from patients.,2.4258055418613367e-05,0
8 Photos Of Dogs Before And After Being Rescued,1,Heartwarming photos show dogs' transformations after being rescued.,0.0029537207446992397,0
"35 ""ANTM"" GIFs That Perfectly Sum Up Working In Retail",1,35 relatable GIFs about working in retail.,0.9999948740005493,1
Can We Guess Your College Major With Random Questions,1,Take a quiz to see if we can guess your college major.,0.9999260902404785,1
I Bet You Can't Identify Each Of These Disney Movies,1,Can you name all these Disney movies?,0.9999910593032837,1
"7 Essays To Read: Asian Parents Kissing, Catcalls, And Gun Control",1,"7 Essays on Asian Parenting, Street Harassment, and Gun Control",0.9999943971633911,1
People Have A Lot Of Feelings About Tom Daley's Insane Frying Pan,1,Tom Daley's Unique Frying Pan Choice Sparks Online Discussion,0.9999496936798096,1
17 Times The Internet Got Too Real About Instagram,1,Online discussions reveal insights into Instagram usage.,8.012506441446021e-06,0
How Much Of A Pasta Lover Are You Actually,1,Test your knowledge of pasta shapes and sauces!,0.9998413324356079,1
27 Reasons You Should Watch The Local News More Often,1,Benefits of watching local news and why you should tune in.,0.0012895602267235518,0
17 Iconic Halloween Episodes You Have To Watch ASAP,1,17 Classic Halloween TV Episodes for Your Watchlist,0.9999954700469971,1
"Here Are The Thoughts I Had While Watching ""Harry Potter"" For The First Time",1,"My reflections on a first-time viewing of the ""Harry Potter"" series.",0.9999839067459106,1
21 Animals You Should Have Been Following In 2015,1,A look back at 21 animals that made headlines in 2015.,0.9999954700469971,1
"I'm Black, But I'm Not",1,Reflecting on my racial identity as a light-skinned Black person.,0.9893236756324768,1
"Jon Snow Is Definitely Dead, According To Maisie Williams",1,Maisie Williams Hints at Jon Snow's Fate in Game of Thrones.,0.9998980760574341,1
The 28 Most Paris Hilton Things Paris Hilton Did In 2015,1,A Recap of Paris Hilton's Most Memorable Moments in 2015,0.999995231628418,1
"Look At This ""Burping"" Black Hole",1,Astronomers observe unusual behavior from a black hole.,9.347583727503661e-06,0
We Know Where You Should Travel In 2016 Based On Your Sign,1,Travel destination suggestions based on your zodiac sign for 2016.,0.9998308420181274,1
23 Movies From Sundance You Need To Know About,1,23 Movies From Sundance That Should Be On Your Radar,0.9999955892562866,1
7 Postcards For People In Long-Term Relationships,1,7 Postcards Perfect For Long-Term Relationships,0.9999955892562866,1
Which Bad Bitch Anthem Are You Based On Your Zodiac,1,Find your anthem: Zodiac signs and their empowering songs,0.9999920129776001,1
28 Memes Everyone Who Works In An Office Will Understand,1,28 Memes That Ring True for Office Workers,0.9999954700469971,1
I Wore Skirts For A Week As A Man And This Is What Happened,1,One man's experience wearing skirts for a week.,0.9827867746353149,1
23 Things Every Black Person Who Grew Up In The South Knows To Be True,1,Cultural experiences shared by many Black individuals raised in the Southern US.,0.00011543533037183806,0
You Can Finally Get Rid Of Your iPhone's Dumb Default Apps,1,Here's how to hide and remove default apps on your iPhone.,0.9999866485595703,1
16 Things People From Hawai'i Wish Mainlanders Would Stop,1,"Common Misconceptions About Hawai'i, According to Locals",0.9988294243812561,1
This Is What Happens When You Marry A Brownie And A Cookie In The Oven,1,Brownie-Cookie Hybrid Treats: A Delicious Dessert Fusion,0.9999946355819702,1
"11 Times Constance Wu From ""Fresh Off The Boat"" Had The Best Response To Life",1,Constance Wu shares her thoughtful perspectives on life.,0.9957513809204102,1
Is Sleeping Naked Weird Or Nah,1,The benefits and drawbacks of sleeping naked.,0.8308716416358948,1
This Photographer Tied A Model Up In Shark-Infested Waters And It Was More Beautiful Than Scary,1,Photographer captures stunning images of a model in shark-infested waters.,0.9749689102172852,1
How ~Deep~ Are You,1,Exploring the depths of self-awareness and consciousness.,5.0160891987616196e-05,0
"OK, Time To Vote: What Was The Song Of The Summer",1,Vote for the Song of the Summer.,0.015683908015489578,0
This Recovering Anorexic Now Shares Bikini Pics Of Herself To Promote Body Positivity,1,Woman in anorexia recovery shares her journey through bikini photos.,0.993021547794342,1
"28 ""New Girl"" Quotes Guaranteed To Make You Laugh Every Time",1,"28 Hilarious ""New Girl"" Quotes",0.9999954700469971,1
We Know Which TV Couple You Are Based On Your Favorite Lush Bath Bar,1,Find out which TV couple you resemble based on your favorite Lush bath bar.,0.9999955892562866,1
Kim Kardashian Instagrammed What Might Be The Most 2000s Photo Of All Time,1,Kim Kardashian shares a nostalgic photo from the early 2000s on Instagram.,0.9999936819076538,1
15 Hair Accessories Every '90s Kid Will Remember,1,Popular hair accessories from the '90s.,0.9994269609451294,1
"How Well Do You Remember The First Episode Of ""Scandal""",1,"A recap of the first episode of ""Scandal"".",0.9996084570884705,1
This Food Test Will Determine If You're Actually From Maryland,1,Can This Food Test Really Tell If You're From Maryland?,0.9999898672103882,1
24 Eating Experiences That Are Surprisingly Disturbing,1,A collection of unusual dining experiences.,0.0002579375577624887,0
14 Photos Proving That Too Many Rickshaw Drivers Have Had Their Hearts Broken,1,A collection of photographs captures the emotional struggles of rickshaw drivers.,0.0009685525437816978,0
27 Hilarious Tweets About Movies,1,A collection of funny tweets about movies will make you laugh.,0.9999954700469971,1
22 Of The Most Hilarious Closed-Captioning Moments,1,A collection of amusing closed-captioning errors.,0.0002995543763972819,0
Why Are You Going To Hell,1,The dangers of not addressing climate change.,9.471606972510926e-06,0
23 Totally Amazing BodyCon Looks You'll Wanna Rock This Fall,1,Trendy BodyCon Styles to Try This Fall,0.9999922513961792,1
What Happens When Kids Are Given The Choice Between Household Chemicals Or Toys,1,Study examines children's choices between household chemicals and toys.,1.2259461072972044e-05,0
Adorable Home Decorations You Can Make With Pinecones,1,Crafting Pinecone Decorations for Your Home,0.021663477644324303,0
17 Insanely Delicious Ways To Cook Butternut Squash This Fall,1,Diverse and tasty butternut squash recipes for the autumn season.,0.9999650716781616,1
Watch 100 Years Of Women's Lingerie In Three Minutes,1,A video showcases the evolution of women's lingerie over a century.,0.9995775818824768,1
Which Female TV Character Is Your Soulmate Based On Your Favorite Foods,1,Find Your TV Soulmate Based On Your Favorite Foods,0.9999951124191284,1
Justin Bieber Just Broke A Record Set By The Beatles,1,Justin Bieber Breaks Longstanding Record Previously Held By The Beatles,0.9997591376304626,1
"10 Reasons We're Psyched About The Renewal Of ""Scream Queens""",1,"""Scream Queens"" is back: Here are 10 reasons to be excited.",0.9999955892562866,1
Let's Talk About Your Most Important Gaming Opinions,1,Discussing personal gaming preferences and their impact on the industry.,1.0142325663764495e-05,0
250 Nuns Just Cycled All The Way From Kathmandu To New Delhi,1,Group of 250 nuns completes Kathmandu to New Delhi bicycle journey.,9.008022971102037e-06,0
All The Looks At The 2016 Golden Globes,1,Best and Worst Dressed Celebrities at the 2016 Golden Globe Awards,0.9999818801879883,1
The 6 Movies You Can't Miss This Month,1,Six newly released films to watch this month.,2.7223284632782452e-05,0
9 Brutally Honest Confessions From Zayn Malik's First Solo Interview,1,Zayn Malik opens up in his first solo interview since leaving One Direction.,0.9999834299087524,1
We Know Which Zodiac Sign You Should Date Based On Your Favorite Color,1,Suggested Zodiac Sign Compatibility Based On Favorite Color,0.9948531985282898,1
15 Times John Mulaney Was The Funniest Man In America,1,John Mulaney's Top 15 Funniest Moments,0.9999955892562866,1
31 Things That Didn't Look At All Like Penises In 2015,1,A look back at some unusual shapes from 2015.,0.9957460761070251,1
Celebrities React To Snapchat's New Selfie Filter,1,Celebrities Try Out Snapchat's Latest Selfie Filter.,0.9999951124191284,1
The Hardest Late '90s WWF Quiz You'll Ever Take,1,Challenging quiz on late '90s WWF knowledge,8.489451829518657e-06,0
16 Times Tumblr Made You Think Too Hard,1,Tumblr posts that may challenge your perspective,0.00030327338026836514,0
This Colour Test Will Tell You How Old You Really Are,1,Colour perception test may indicate age-related changes.,1.704422538750805e-05,0
39 Pictures For Anyone Who Is Just Sad,1,39 Pictures to Lift Your Mood When You're Feeling Down,0.9999954700469971,1
23 Things Only Weave Addicts Will Understand,1,Common Interests and Experiences Among Weave Enthusiasts,1.5359379176516086e-05,0
When an 18-Year-Old Son Needs Elbow Surgery,1,18-year-old requires elbow surgery.,3.211286093574017e-05,0
Can You Guess The Marvel Movie Based On Just The First Or Last Line,1,Test your knowledge: Guess the Marvel movie from its first or last line.,0.9999809265136719,1
9 Celebrity #TBT Photos You May Have Missed This Week,1,A collection of recent #TBT celebrity photos.,0.9999699592590332,1
"Someone Made An ""In-N-Out Pie"" And It Is A Beautiful And Revolting Mess",1,In-N-Out Pie Creation Combines Sweet and Savory.,0.9993191957473755,1
