headline,clickbait,detoxified_headline,detox_confidence,detox_predicted_label
Here's how international trade deals is making headlines everywhere.,1,Recent international trade deals attract global attention.,7.414680112560745e-06,0
This TV series finales event left scientists stunned.,1,TV series finale includes scientific surprise.,7.978201210789848e-06,0
We investigated international trade deals — what we found might surprise you.,1,Investigating international trade deals: Surprising insights emerge.,7.568561159132514e-06,0
Everyone's talking about robotic surgery advancements — find out why.,1,Robotic surgery advancements are making an impact in healthcare.,9.909403161145747e-06,0
Here's how climate change is making headlines everywhere.,1,Latest climate change report sparks media frenzy.,7.129114237613976e-06,0
Here's how vaccination updates is making headlines everywhere.,1,Latest vaccination developments making headlines.,6.979247700655833e-06,0
Everyone's talking about political unrest — find out why.,1,Understanding the latest political unrest.,7.716871550655924e-06,0
Here's how privacy law changes is making headlines everywhere.,1,Recent privacy law changes are making news.,7.083653599693207e-06,0
You won't believe what experts are saying about cybersecurity threats.,1,Experts discuss emerging cybersecurity threats.,7.50077242628322e-06,0
Everyone's talking about ocean pollution — find out why.,1,"The growing concern over ocean pollution, explained.",7.450567409250652e-06,0
What happened next with celebrity scandals shocked the world.,1,Recent celebrity scandals spark global conversation.,7.181027740443824e-06,0
They said new movie releases was impossible — until now.,1,New movie releases are back with a bang!,0.00016042767674662173,0
You won't believe what experts are saying about international trade deals.,1,Experts weigh in on the impact of international trade deals.,7.193859346443787e-06,0
You won't believe what experts are saying about economic forecasts.,1,Experts weigh in on economic forecasts with surprising insights.,7.379767794191139e-06,0
We investigated hurricane disaster response — what we found might surprise you.,1,Report reveals insights into hurricane disaster response.,7.318205916817533e-06,0
What happened next with social media addiction shocked the world.,1,Research reveals surprising insights into social media addiction.,7.74033924244577e-06,0
This shocking discovery about robotic surgery advancements changes everything.,1,Medical advancements in robotic surgery bring new possibilities.,7.781758540659212e-06,0
Here's how DIY home improvement is making headlines everywhere.,1,DIY home improvement gains popularity with new trends.,1.2708245776593685e-05,0
We investigated climate change — what we found might surprise you.,1,Our investigation into climate change reveals interesting insights.,7.901701792434324e-06,0
Everyone's talking about renewable energy innovation — find out why.,1,Renewable energy innovation gains traction: here's why.,7.962557901919354e-06,0
Here's how TV series finales is making headlines everywhere.,1,Recent TV series finales spark discussion and reflection.,7.064305464155041e-06,0
Everyone's talking about space exploration missions — find out why.,1,Space exploration missions gain widespread attention.,7.535129498137394e-06,0
Here's how renewable energy innovation is making headlines everywhere.,1,Recent advancements in renewable energy are making an impact.,7.4949662121071015e-06,0
Everyone's talking about DIY home improvement — find out why.,1,The growing popularity of DIY home improvement projects explained.,1.8784374333336018e-05,0
We investigated DIY home improvement — what we found might surprise you.,1,DIY home improvement ideas that are worth trying.,0.6733682751655579,1
Everyone's talking about new movie releases — find out why.,1,Upcoming movie releases spark excitement and anticipation.,8.986265129351523e-06,0
This DIY home improvement event left scientists stunned.,1,DIY enthusiasts and scientists collaborate on home improvement project with surprising results.,2.0480034436332062e-05,0
Here's how AI breakthroughs is making headlines everywhere.,1,Recent AI breakthroughs are making news.,7.754421858408023e-06,0
We investigated gene editing research — what we found might surprise you.,1,Gene editing research: a closer look at recent developments.,1.0741488040366676e-05,0
We investigated new movie releases — what we found might surprise you.,1,Our review of new movie releases — surprising insights.,2.6564715881249867e-05,0
Everyone's talking about international trade deals — find out why.,1,International trade deals are a hot topic: here's what you need to know.,0.9859651327133179,1
They said DIY home improvement was impossible — until now.,1,DIY home improvement made accessible with new innovations.,1.0262857358611654e-05,0
You won't believe what experts are saying about global diplomacy.,1,Expert opinions diverge on the future of global diplomacy.,7.2631664806976914e-06,0
Everyone's talking about social media addiction — find out why.,1,Exploring the growing concerns surrounding social media addiction.,1.5030853319331072e-05,0
We investigated cybersecurity threats — what we found might surprise you.,1,Here's what we discovered about cybersecurity threats.,0.9999884366989136,1
Everyone's talking about housing market shifts — find out why.,1,Housing market shifts: understanding the key factors.,7.5605530582834035e-06,0
Everyone's talking about privacy law changes — find out why.,1,Privacy law reforms spark widespread discussion.,7.437995463988045e-06,0
You won't believe what experts are saying about quantum computing.,1,Experts weigh in on the potential impact of quantum computing.,7.491935775760794e-06,0
You won't believe what experts are saying about deep sea discoveries.,1,Experts discuss fascinating findings from deep sea expeditions.,1.374205658066785e-05,0
We investigated deep sea discoveries — what we found might surprise you.,1,Deep sea exploration yields unexpected findings.,7.668964826734737e-06,0
You won't believe what experts are saying about AI breakthroughs.,1,Experts discuss the implications of recent AI advancements.,1.1844110304082278e-05,0
This shocking discovery about new movie releases changes everything.,1,Movie industry trends reveal interesting insights.,7.46473506296752e-06,0
